tamanho_vetor,tipo_dados,algoritmo,tempo_execucao
100000,ALEATORIOS,MERGE_SORT,0:00:00.157121
100000,ALEATORIOS,QUICK_SORT,0:00:00.096723
1000,ORDEM_CRESC,BUBBLE_SORT,0:00:00.027448
1000,Ordem_CRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.000051
1000,ORDEM_CRESC,SELECAO,0:00:00.010879
1000,ORDEM_CRESC,INSERCAO,0:00:00.000065
1000,ORDEM_CRESC,MERGE_SORT,0:00:00.000723
1000,ORDEM_CRESC,QUICK_SORT,0:00:00.014505
10000,ORDEM_CRESC,BUBBLE_SORT,0:00:02.741085
10000,Ordem_CRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.000297
10000,ORDEM_CRESC,SELECAO,0:00:01.133252
10000,ORDEM_CRESC,INSERCAO,0:00:00.000513
10000,ORDEM_CRESC,MERGE_SORT,0:00:00.009382
10000,ORDEM_CRESC,QUICK_SORT,0:00:01.402561
100000,ORDEM_CRESC,BUBBLE_SORT,0:04:37.554057
100000,Ordem_CRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.002867
100000,ORDEM_CRESC,SELECAO,0:01:54.775909
100000,ORDEM_CRESC,INSERCAO,0:00:00.004822
100000,ORDEM_CRESC,MERGE_SORT,0:00:00.115420
100000,ORDEM_CRESC,QUICK_SORT,0:02:19.479848
1000,ORDEM_DECRESC,BUBBLE_SORT,0:00:00.045022
1000,Ordem_DECRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.030684
1000,ORDEM_DECRESC,SELECAO,0:00:00.011029
1000,ORDEM_DECRESC,INSERCAO,0:00:00.026036
1000,ORDEM_DECRESC,MERGE_SORT,0:00:00.000824
1000,ORDEM_DECRESC,QUICK_SORT,0:00:00.015031
10000,ORDEM_DECRESC,BUBBLE_SORT,0:00:04.294609
10000,Ordem_DECRESC,BUBBLE_SORT_OTIMIZADO,0:00:03.151114
10000,ORDEM_DECRESC,SELECAO,0:00:01.034511
10000,ORDEM_DECRESC,INSERCAO,0:00:02.642051
10000,ORDEM_DECRESC,MERGE_SORT,0:00:00.009462
10000,ORDEM_DECRESC,QUICK_SORT,0:00:01.383624
100000,ORDEM_DECRESC,BUBBLE_SORT,0:07:10.544693
100000,Ordem_DECRESC,BUBBLE_SORT_OTIMIZADO,0:05:05.046158
100000,ORDEM_DECRESC,SELECAO,0:01:45.373298
100000,ORDEM_DECRESC,INSERCAO,0:04:26.319638
100000,ORDEM_DECRESC,MERGE_SORT,0:00:00.118642
100000,ORDEM_DECRESC,QUICK_SORT,0:02:18.196718
